,SymbolA,SymbolB,pair
3000041,ZNF860,TFCP2L1,TFCP2L1__ZNF860
3000042,ZNF883,TFCP2L1,TFCP2L1__ZNF883
3000043,ZNF90,TFCP2L1,TFCP2L1__ZNF90
3000044,ZNF99,TFCP2L1,TFCP2L1__ZNF99
3000045,ZP1,TFCP2L1,TFCP2L1__ZP1
3000046,ZPBP,TFCP2L1,TFCP2L1__ZPBP
3000047,TGM6,TFEC,TFEC__TGM6
3000048,THPO,TFEC,TFEC__THPO
3000049,TFEC,TMEM114,TFEC__TMEM114
3000050,TMEM121B,TFEC,TFEC__TMEM121B
3000051,TFEC,TMEM138,TFEC__TMEM138
3000052,TFEC,TMEM151A,TFEC__TMEM151A
3000053,TMEM158,TFEC,TFEC__TMEM158
3000054,TMEM185B,TFEC,TFEC__TMEM185B
3000055,TFEC,TMEM225B,TFEC__TMEM225B
3000056,TMEM89,TFEC,TFEC__TMEM89
3000057,TFEC,TMEM91,TFEC__TMEM91
3000058,TMPRSS7,TFEC,TFEC__TMPRSS7
3000059,TFEC,TOP6BL,TFEC__TOP6BL
3000060,TPBGL,TFEC,TFEC__TPBGL
3000061,TRAV7,TFEC,TFEC__TRAV7
3000062,TFEC,TRBC2,TFEC__TRBC2
3000063,TRBV12-3,TFEC,TFEC__TRBV12-3
3000064,TFEC,TRIM61,TFEC__TRIM61
3000065,TRIM77,TFEC,TFEC__TRIM77
3000066,TFEC,TSPEAR,TFEC__TSPEAR
3000067,TUG1,TFEC,TFEC__TUG1
3000068,UGT2A1,TFEC,TFEC__UGT2A1
3000069,TFEC,UGT2A2,TFEC__UGT2A2
3000070,UGT2B17,TFEC,TFEC__UGT2B17
3000071,URAD,TFEC,TFEC__URAD
3000072,TFEC,UROC1,TFEC__UROC1
3000073,VN1R2,TFEC,TFEC__VN1R2
3000074,VSTM2B,TFEC,TFEC__VSTM2B
3000075,TFEC,VWA5B1,TFEC__VWA5B1
3000076,TFEC,XPNPEP2,TFEC__XPNPEP2
3000077,ZAN,TFEC,TFEC__ZAN
3000078,TFEC,ZC3H11B,TFEC__ZC3H11B
3000079,TFEC,ZC3H11C,TFEC__ZC3H11C
3000080,ZDHHC11B,TFEC,TFEC__ZDHHC11B
3000081,ZFP3,TFEC,TFEC__ZFP3
3000082,ZGLP1,TFEC,TFEC__ZGLP1
3000083,TFEC,ZNF117,TFEC__ZNF117
3000084,TFEC,ZNF208,TFEC__ZNF208
3000085,ZNF257,TFEC,TFEC__ZNF257
3000086,ZNF283,TFEC,TFEC__ZNF283
3000087,TFEC,ZNF285,TFEC__ZNF285
3000088,TFEC,ZNF385D,TFEC__ZNF385D
3000089,ZNF404,TFEC,TFEC__ZNF404
3000090,ZNF519,TFEC,TFEC__ZNF519
3000091,ZNF530,TFEC,TFEC__ZNF530
3000092,TFEC,ZNF551,TFEC__ZNF551
3000093,ZNF570,TFEC,TFEC__ZNF570
3000094,ZNF619,TFEC,TFEC__ZNF619
3000095,ZNF654,TFEC,TFEC__ZNF654
3000096,ZNF676,TFEC,TFEC__ZNF676
3000097,ZNF705D,TFEC,TFEC__ZNF705D
3000098,ZNF789,TFEC,TFEC__ZNF789
3000099,ZNF841,TFEC,TFEC__ZNF841
3000100,TFEC,ZNF878,TFEC__ZNF878
3000101,TFEC,ZNF90,TFEC__ZNF90
3000102,THPO,TFF2,TFF2__THPO
3000103,TINCR,TFF2,TFF2__TINCR
3000104,TMC3,TFF2,TFF2__TMC3
3000105,TFF2,TMEM114,TFF2__TMEM114
3000106,TMEM132B,TFF2,TFF2__TMEM132B
3000107,TFF2,TMEM138,TFF2__TMEM138
3000108,TMEM151A,TFF2,TFF2__TMEM151A
3000109,TMEM158,TFF2,TFF2__TMEM158
3000110,TMEM185B,TFF2,TFF2__TMEM185B
3000111,TMEM89,TFF2,TFF2__TMEM89
3000112,TMEM91,TFF2,TFF2__TMEM91
3000113,TMPRSS11F,TFF2,TFF2__TMPRSS11F
3000114,TOP6BL,TFF2,TFF2__TOP6BL
3000115,TPBGL,TFF2,TFF2__TPBGL
3000116,TFF2,TRAV7,TFF2__TRAV7
3000117,TRBV12-3,TFF2,TFF2__TRBV12-3
3000118,TREH,TFF2,TFF2__TREH
3000119,TRIM43B,TFF2,TFF2__TRIM43B
3000120,TFF2,TRIM61,TFF2__TRIM61
3000121,TSPEAR,TFF2,TFF2__TSPEAR
3000122,TUG1,TFF2,TFF2__TUG1
3000123,UGT2A1,TFF2,TFF2__UGT2A1
3000124,UGT2A2,TFF2,TFF2__UGT2A2
3000125,UGT2B17,TFF2,TFF2__UGT2B17
3000126,URAD,TFF2,TFF2__URAD
3000127,UROC1,TFF2,TFF2__UROC1
3000128,USP17L12,TFF2,TFF2__USP17L12
3000129,TFF2,USP17L3,TFF2__USP17L3
3000130,VSTM2B,TFF2,TFF2__VSTM2B
3000131,VWA5B1,TFF2,TFF2__VWA5B1
3000132,ZAR1,TFF2,TFF2__ZAR1
3000133,ZC3H11B,TFF2,TFF2__ZC3H11B
3000134,ZC3H11C,TFF2,TFF2__ZC3H11C
3000135,TFF2,ZDHHC11B,TFF2__ZDHHC11B
3000136,ZFP3,TFF2,TFF2__ZFP3
3000137,ZFR2,TFF2,TFF2__ZFR2
3000138,TFF2,ZGLP1,TFF2__ZGLP1
3000139,TFF2,ZNF208,TFF2__ZNF208
3000140,ZNF257,TFF2,TFF2__ZNF257
3000141,ZNF283,TFF2,TFF2__ZNF283
3000142,ZNF285,TFF2,TFF2__ZNF285
3000143,ZNF385D,TFF2,TFF2__ZNF385D
3000144,TFF2,ZNF404,TFF2__ZNF404
3000145,TFF2,ZNF519,TFF2__ZNF519
3000146,TFF2,ZNF551,TFF2__ZNF551
3000147,ZNF570,TFF2,TFF2__ZNF570
3000148,TFF2,ZNF605,TFF2__ZNF605
3000149,ZNF606,TFF2,TFF2__ZNF606
3000150,ZNF654,TFF2,TFF2__ZNF654
3000151,ZNF676,TFF2,TFF2__ZNF676
3000152,ZNF705D,TFF2,TFF2__ZNF705D
3000153,TFF2,ZNF727,TFF2__ZNF727
3000154,ZNF736,TFF2,TFF2__ZNF736
3000155,ZNF789,TFF2,TFF2__ZNF789
3000156,ZNF883,TFF2,TFF2__ZNF883
3000157,TFF2,ZSWIM4,TFF2__ZSWIM4
3000158,TFF3,TGM6,TFF3__TGM6
3000159,TFF3,THEGL,TFF3__THEGL
3000160,THPO,TFF3,TFF3__THPO
3000161,TFF3,TINCR,TFF3__TINCR
3000162,TLCD3B,TFF3,TFF3__TLCD3B
3000163,TFF3,TMEM114,TFF3__TMEM114
3000164,TFF3,TMEM117,TFF3__TMEM117
3000165,TFF3,TMEM121B,TFF3__TMEM121B
3000166,TMEM132C,TFF3,TFF3__TMEM132C
3000167,TMEM132D,TFF3,TFF3__TMEM132D
3000168,TMEM132E,TFF3,TFF3__TMEM132E
3000169,TFF3,TMEM138,TFF3__TMEM138
3000170,TMEM151A,TFF3,TFF3__TMEM151A
3000171,TFF3,TMEM158,TFF3__TMEM158
3000172,TFF3,TMEM185B,TFF3__TMEM185B
3000173,TFF3,TMEM225,TFF3__TMEM225
3000174,TMEM225B,TFF3,TFF3__TMEM225B
3000175,TMEM270,TFF3,TFF3__TMEM270
3000176,TMEM52,TFF3,TFF3__TMEM52
3000177,TFF3,TMEM74B,TFF3__TMEM74B
3000178,TMEM89,TFF3,TFF3__TMEM89
3000179,TMEM91,TFF3,TFF3__TMEM91
3000180,TMIGD1,TFF3,TFF3__TMIGD1
3000181,TMIGD2,TFF3,TFF3__TMIGD2
3000182,TFF3,TMPRSS11F,TFF3__TMPRSS11F
3000183,TMPRSS15,TFF3,TFF3__TMPRSS15
3000184,TFF3,TMSB15A,TFF3__TMSB15A
3000185,TNFSF4,TFF3,TFF3__TNFSF4
3000186,TFF3,TOP6BL,TFF3__TOP6BL
3000187,TP53AIP1,TFF3,TFF3__TP53AIP1
3000188,TFF3,TPBGL,TFF3__TPBGL
3000189,TPSG1,TFF3,TFF3__TPSG1
3000190,TFF3,TRAV24,TFF3__TRAV24
3000191,TFF3,TRAV7,TFF3__TRAV7
3000192,TRBC2,TFF3,TFF3__TRBC2
3000193,TFF3,TRBV12-3,TFF3__TRBV12-3
3000194,TFF3,TRBV13,TFF3__TRBV13
3000195,TFF3,TRBV25-1,TFF3__TRBV25-1
3000196,TREH,TFF3,TFF3__TREH
3000197,TRIM48,TFF3,TFF3__TRIM48
3000198,TFF3,TRIM61,TFF3__TRIM61
3000199,TRPM5,TFF3,TFF3__TRPM5
3000200,TSBP1,TFF3,TFF3__TSBP1
3000201,TSKU,TFF3,TFF3__TSKU
3000202,TSPAN32,TFF3,TFF3__TSPAN32
3000203,TSPEAR,TFF3,TFF3__TSPEAR
3000204,TSPY8,TFF3,TFF3__TSPY8
3000205,TFF3,TTC22,TFF3__TTC22
3000206,TTC9,TFF3,TFF3__TTC9
3000207,TFF3,TUG1,TFF3__TUG1
3000208,TFF3,UBE2QL1,TFF3__UBE2QL1
3000209,UCMA,TFF3,TFF3__UCMA
3000210,UCN2,TFF3,TFF3__UCN2
3000211,UCP1,TFF3,TFF3__UCP1
3000212,UGT2A1,TFF3,TFF3__UGT2A1
3000213,TFF3,UGT2A2,TFF3__UGT2A2
3000214,UGT2B17,TFF3,TFF3__UGT2B17
3000215,UQCRHL,TFF3,TFF3__UQCRHL
3000216,TFF3,UROC1,TFF3__UROC1
3000217,TFF3,USP17L23,TFF3__USP17L23
3000218,UTS2R,TFF3,TFF3__UTS2R
3000219,TFF3,VN1R2,TFF3__VN1R2
3000220,TFF3,VSTM2B,TFF3__VSTM2B
3000221,VWA3A,TFF3,TFF3__VWA3A
3000222,VWA5B1,TFF3,TFF3__VWA5B1
3000223,TFF3,WFDC10A,TFF3__WFDC10A
3000224,TFF3,XKRY,TFF3__XKRY
3000225,XPNPEP2,TFF3,TFF3__XPNPEP2
3000226,TFF3,ZAN,TFF3__ZAN
3000227,ZAR1,TFF3,TFF3__ZAR1
3000228,ZBED2,TFF3,TFF3__ZBED2
3000229,TFF3,ZC3H11B,TFF3__ZC3H11B
3000230,ZC3H11C,TFF3,TFF3__ZC3H11C
3000231,TFF3,ZCCHC18,TFF3__ZCCHC18
3000232,TFF3,ZDHHC11B,TFF3__ZDHHC11B
3000233,TFF3,ZFP3,TFF3__ZFP3
3000234,TFF3,ZGLP1,TFF3__ZGLP1
3000235,ZIC4,TFF3,TFF3__ZIC4
3000236,TFF3,ZNF117,TFF3__ZNF117
3000237,ZNF134,TFF3,TFF3__ZNF134
3000238,TFF3,ZNF208,TFF3__ZNF208
3000239,ZNF236,TFF3,TFF3__ZNF236
3000240,TFF3,ZNF256,TFF3__ZNF256
3000241,TFF3,ZNF257,TFF3__ZNF257
3000242,TFF3,ZNF285,TFF3__ZNF285
3000243,ZNF354B,TFF3,TFF3__ZNF354B
3000244,ZNF385D,TFF3,TFF3__ZNF385D
3000245,TFF3,ZNF404,TFF3__ZNF404
3000246,TFF3,ZNF425,TFF3__ZNF425
3000247,TFF3,ZNF470,TFF3__ZNF470
3000248,TFF3,ZNF487,TFF3__ZNF487
3000249,TFF3,ZNF519,TFF3__ZNF519
3000250,TFF3,ZNF546,TFF3__ZNF546
3000251,TFF3,ZNF570,TFF3__ZNF570
3000252,TFF3,ZNF605,TFF3__ZNF605
3000253,ZNF606,TFF3,TFF3__ZNF606
3000254,TFF3,ZNF619,TFF3__ZNF619
3000255,TFF3,ZNF654,TFF3__ZNF654
3000256,TFF3,ZNF676,TFF3__ZNF676
3000257,TFF3,ZNF705D,TFF3__ZNF705D
3000258,ZNF717,TFF3,TFF3__ZNF717
3000259,TFF3,ZNF735,TFF3__ZNF735
3000260,TFF3,ZNF736,TFF3__ZNF736
3000261,ZNF737,TFF3,TFF3__ZNF737
3000262,ZNF782,TFF3,TFF3__ZNF782
3000263,TFF3,ZNF799,TFF3__ZNF799
3000264,TFF3,ZNF814,TFF3__ZNF814
3000265,TFF3,ZNF841,TFF3__ZNF841
3000266,ZNF860,TFF3,TFF3__ZNF860
3000267,TFF3,ZNF878,TFF3__ZNF878
3000268,TFF3,ZNF883,TFF3__ZNF883
3000269,ZNF90,TFF3,TFF3__ZNF90
3000270,ZNF99,TFF3,TFF3__ZNF99
3000271,ZP1,TFF3,TFF3__ZP1
3000272,ZPBP,TFF3,TFF3__ZPBP
3000273,TFF3,ZSWIM4,TFF3__ZSWIM4
3000274,THPO,TFPI,TFPI__THPO
3000275,TFPI,TMEM114,TFPI__TMEM114
3000276,TFPI,TMEM117,TFPI__TMEM117
3000277,TMEM132B,TFPI,TFPI__TMEM132B
3000278,TFPI,TMEM138,TFPI__TMEM138
3000279,TFPI,TMEM185B,TFPI__TMEM185B
3000280,TMEM91,TFPI,TFPI__TMEM91
3000281,TFPI,TMSB15A,TFPI__TMSB15A
3000282,TOP6BL,TFPI,TFPI__TOP6BL
3000283,TFPI,TRBV12-3,TFPI__TRBV12-3
3000284,TREH,TFPI,TFPI__TREH
3000285,TFPI,TRIM43B,TFPI__TRIM43B
3000286,TFPI,TRIM61,TFPI__TRIM61
3000287,TRIM77,TFPI,TFPI__TRIM77
3000288,TFPI,TUG1,TFPI__TUG1
3000289,TFPI,UCMA,TFPI__UCMA
3000290,UGT2A1,TFPI,TFPI__UGT2A1
3000291,TFPI,UROC1,TFPI__UROC1
3000292,TFPI,USP17L12,TFPI__USP17L12
3000293,USP17L3,TFPI,TFPI__USP17L3
3000294,ZDHHC11B,TFPI,TFPI__ZDHHC11B
3000295,TFPI,ZFP3,TFPI__ZFP3
3000296,TFPI,ZFR2,TFPI__ZFR2
3000297,ZGLP1,TFPI,TFPI__ZGLP1
3000298,ZNF117,TFPI,TFPI__ZNF117
3000299,TFPI,ZNF208,TFPI__ZNF208
3000300,TFPI,ZNF285,TFPI__ZNF285
3000301,TFPI,ZNF470,TFPI__ZNF470
3000302,TFPI,ZNF519,TFPI__ZNF519
3000303,TFPI,ZNF546,TFPI__ZNF546
3000304,TFPI,ZNF619,TFPI__ZNF619
3000305,ZNF676,TFPI,TFPI__ZNF676
3000306,ZNF727,TFPI,TFPI__ZNF727
3000307,TFPI,ZNF878,TFPI__ZNF878
3000308,ZNF883,TFPI,TFPI__ZNF883
3000309,TGDS,TGM6,TGDS__TGM6
3000310,TGDS,THPO,TGDS__THPO
3000311,TGDS,TINCR,TGDS__TINCR
3000312,TMC3,TGDS,TGDS__TMC3
3000313,TGDS,TMEM114,TGDS__TMEM114
3000314,TGDS,TMEM117,TGDS__TMEM117
3000315,TMEM156,TGDS,TGDS__TMEM156
3000316,TGDS,TMEM158,TGDS__TMEM158
3000317,TGDS,TMEM89,TGDS__TMEM89
3000318,TGDS,TMEM91,TGDS__TMEM91
3000319,TGDS,TMPRSS11F,TGDS__TMPRSS11F
3000320,TGDS,TMPRSS7,TGDS__TMPRSS7
3000321,TGDS,TRAV7,TGDS__TRAV7
3000322,TGDS,TRBV12-3,TGDS__TRBV12-3
3000323,TGDS,TREH,TGDS__TREH
3000324,TGDS,TRIM61,TGDS__TRIM61
3000325,TGDS,TUG1,TGDS__TUG1
3000326,TGDS,UBE2QL1,TGDS__UBE2QL1
3000327,TGDS,UCMA,TGDS__UCMA
3000328,UGT2A1,TGDS,TGDS__UGT2A1
3000329,TGDS,UGT2A2,TGDS__UGT2A2
3000330,TGDS,UGT2B17,TGDS__UGT2B17
3000331,TGDS,URAD,TGDS__URAD
3000332,TGDS,UROC1,TGDS__UROC1
3000333,TGDS,VN1R2,TGDS__VN1R2
3000334,TGDS,VSTM2B,TGDS__VSTM2B
3000335,XPNPEP2,TGDS,TGDS__XPNPEP2
3000336,TGDS,ZAR1,TGDS__ZAR1
3000337,TGDS,ZC3H11B,TGDS__ZC3H11B
3000338,TGDS,ZDHHC11B,TGDS__ZDHHC11B
3000339,TGDS,ZFP3,TGDS__ZFP3
3000340,ZGLP1,TGDS,TGDS__ZGLP1
3000341,TGDS,ZNF208,TGDS__ZNF208
3000342,TGDS,ZNF283,TGDS__ZNF283
3000343,TGDS,ZNF285,TGDS__ZNF285
3000344,TGDS,ZNF385D,TGDS__ZNF385D
3000345,ZNF404,TGDS,TGDS__ZNF404
3000346,TGDS,ZNF470,TGDS__ZNF470
3000347,TGDS,ZNF486,TGDS__ZNF486
3000348,TGDS,ZNF519,TGDS__ZNF519
3000349,TGDS,ZNF551,TGDS__ZNF551
3000350,TGDS,ZNF606,TGDS__ZNF606
3000351,ZNF654,TGDS,TGDS__ZNF654
3000352,TGDS,ZNF676,TGDS__ZNF676
3000353,TGDS,ZNF705D,TGDS__ZNF705D
3000354,TGDS,ZNF782,TGDS__ZNF782
3000355,ZNF789,TGDS,TGDS__ZNF789
3000356,TGDS,ZNF841,TGDS__ZNF841
3000357,TGDS,ZNF883,TGDS__ZNF883
3000358,TGDS,ZSWIM4,TGDS__ZSWIM4
3000359,THEGL,TGFB3,TGFB3__THEGL
3000360,TGFB3,THPO,TGFB3__THPO
3000361,TMC3,TGFB3,TGFB3__TMC3
3000362,TMEM114,TGFB3,TGFB3__TMEM114
3000363,TGFB3,TMEM117,TGFB3__TMEM117
3000364,TMEM121B,TGFB3,TGFB3__TMEM121B
3000365,TMEM151A,TGFB3,TGFB3__TMEM151A
3000366,TMEM156,TGFB3,TGFB3__TMEM156
3000367,TMEM225B,TGFB3,TGFB3__TMEM225B
3000368,TGFB3,TMEM74B,TGFB3__TMEM74B
3000369,TGFB3,TMEM89,TGFB3__TMEM89
3000370,TMEM91,TGFB3,TGFB3__TMEM91
3000371,TMPRSS11F,TGFB3,TGFB3__TMPRSS11F
3000372,TMPRSS7,TGFB3,TGFB3__TMPRSS7
3000373,TMSB15A,TGFB3,TGFB3__TMSB15A
3000374,TOP6BL,TGFB3,TGFB3__TOP6BL
3000375,TRAV7,TGFB3,TGFB3__TRAV7
3000376,TGFB3,TRBC2,TGFB3__TRBC2
3000377,TRBV12-3,TGFB3,TGFB3__TRBV12-3
3000378,TGFB3,TREH,TGFB3__TREH
3000379,TRIM61,TGFB3,TGFB3__TRIM61
3000380,TRIM77,TGFB3,TGFB3__TRIM77
3000381,TSPEAR,TGFB3,TGFB3__TSPEAR
3000382,TUG1,TGFB3,TGFB3__TUG1
3000383,UBE2QL1,TGFB3,TGFB3__UBE2QL1
3000384,UCMA,TGFB3,TGFB3__UCMA
3000385,UGT2A1,TGFB3,TGFB3__UGT2A1
3000386,TGFB3,UGT2A2,TGFB3__UGT2A2
3000387,TGFB3,UGT2B17,TGFB3__UGT2B17
3000388,TGFB3,URAD,TGFB3__URAD
3000389,UROC1,TGFB3,TGFB3__UROC1
3000390,VN1R2,TGFB3,TGFB3__VN1R2
3000391,XKR5,TGFB3,TGFB3__XKR5
3000392,XPNPEP2,TGFB3,TGFB3__XPNPEP2
3000393,ZDHHC11B,TGFB3,TGFB3__ZDHHC11B
3000394,TGFB3,ZFP3,TGFB3__ZFP3
3000395,ZGLP1,TGFB3,TGFB3__ZGLP1
3000396,ZNF117,TGFB3,TGFB3__ZNF117
3000397,ZNF208,TGFB3,TGFB3__ZNF208
3000398,TGFB3,ZNF257,TGFB3__ZNF257
3000399,ZNF285,TGFB3,TGFB3__ZNF285
3000400,TGFB3,ZNF385D,TGFB3__ZNF385D
3000401,ZNF470,TGFB3,TGFB3__ZNF470
3000402,ZNF487,TGFB3,TGFB3__ZNF487
3000403,ZNF519,TGFB3,TGFB3__ZNF519
3000404,ZNF530,TGFB3,TGFB3__ZNF530
3000405,ZNF605,TGFB3,TGFB3__ZNF605
3000406,TGFB3,ZNF606,TGFB3__ZNF606
3000407,ZNF654,TGFB3,TGFB3__ZNF654
3000408,ZNF676,TGFB3,TGFB3__ZNF676
3000409,ZNF789,TGFB3,TGFB3__ZNF789
3000410,ZNF878,TGFB3,TGFB3__ZNF878
3000411,ZNF883,TGFB3,TGFB3__ZNF883
3000412,ZSWIM4,TGFB3,TGFB3__ZSWIM4
3000413,TGFBI,TGM6,TGFBI__TGM6
3000414,THEGL,TGFBI,TGFBI__THEGL
3000415,THPO,TGFBI,TGFBI__THPO
3000416,TINCR,TGFBI,TGFBI__TINCR
3000417,TGFBI,TMEM114,TGFBI__TMEM114
3000418,TGFBI,TMEM121B,TGFBI__TMEM121B
3000419,TGFBI,TMEM138,TGFBI__TMEM138
3000420,TMEM156,TGFBI,TGFBI__TMEM156
3000421,TMEM158,TGFBI,TGFBI__TMEM158
3000422,TGFBI,TMEM185B,TGFBI__TMEM185B
3000423,TMEM198,TGFBI,TGFBI__TMEM198
3000424,TMEM225B,TGFBI,TGFBI__TMEM225B
3000425,TMPRSS11F,TGFBI,TGFBI__TMPRSS11F
3000426,TGFBI,TMPRSS7,TGFBI__TMPRSS7
3000427,TGFBI,TMSB15A,TGFBI__TMSB15A
3000428,TGFBI,TOP6BL,TGFBI__TOP6BL
3000429,TRABD2A,TGFBI,TGFBI__TRABD2A
3000430,TRABD2B,TGFBI,TGFBI__TRABD2B
3000431,TRAV7,TGFBI,TGFBI__TRAV7
3000432,TRBC2,TGFBI,TGFBI__TRBC2
3000433,TRBV12-3,TGFBI,TGFBI__TRBV12-3
3000434,TRBV13,TGFBI,TGFBI__TRBV13
3000435,TREH,TGFBI,TGFBI__TREH
3000436,TGFBI,TRIM61,TGFBI__TRIM61
3000437,TRIM77,TGFBI,TGFBI__TRIM77
3000438,TSPEAR,TGFBI,TGFBI__TSPEAR
3000439,TGFBI,TUG1,TGFBI__TUG1
3000440,TGFBI,UBE2QL1,TGFBI__UBE2QL1
3000441,UCMA,TGFBI,TGFBI__UCMA
3000442,UGT2A1,TGFBI,TGFBI__UGT2A1
3000443,TGFBI,UGT2A2,TGFBI__UGT2A2
3000444,TGFBI,UROC1,TGFBI__UROC1
3000445,VSTM2B,TGFBI,TGFBI__VSTM2B
3000446,VWA5B1,TGFBI,TGFBI__VWA5B1
3000447,TGFBI,ZAR1,TGFBI__ZAR1
3000448,ZC3H11C,TGFBI,TGFBI__ZC3H11C
3000449,TGFBI,ZDHHC11B,TGFBI__ZDHHC11B
3000450,TGFBI,ZFP3,TGFBI__ZFP3
3000451,ZGLP1,TGFBI,TGFBI__ZGLP1
3000452,ZNF117,TGFBI,TGFBI__ZNF117
3000453,TGFBI,ZNF208,TGFBI__ZNF208
3000454,ZNF257,TGFBI,TGFBI__ZNF257
3000455,TGFBI,ZNF283,TGFBI__ZNF283
3000456,ZNF285,TGFBI,TGFBI__ZNF285
3000457,TGFBI,ZNF404,TGFBI__ZNF404
3000458,ZNF425,TGFBI,TGFBI__ZNF425
3000459,TGFBI,ZNF470,TGFBI__ZNF470
3000460,ZNF487,TGFBI,TGFBI__ZNF487
3000461,TGFBI,ZNF519,TGFBI__ZNF519
3000462,TGFBI,ZNF530,TGFBI__ZNF530
3000463,ZNF546,TGFBI,TGFBI__ZNF546
3000464,ZNF551,TGFBI,TGFBI__ZNF551
3000465,TGFBI,ZNF605,TGFBI__ZNF605
3000466,TGFBI,ZNF619,TGFBI__ZNF619
3000467,TGFBI,ZNF654,TGFBI__ZNF654
3000468,ZNF676,TGFBI,TGFBI__ZNF676
3000469,ZNF736,TGFBI,TGFBI__ZNF736
3000470,ZNF782,TGFBI,TGFBI__ZNF782
3000471,TGFBI,ZNF789,TGFBI__ZNF789
3000472,TGFBI,ZNF841,TGFBI__ZNF841
3000473,ZNF878,TGFBI,TGFBI__ZNF878
3000474,TGFBI,ZNF883,TGFBI__ZNF883
3000475,TGFBI,ZNF90,TGFBI__ZNF90
3000476,TGM4,TGM6,TGM4__TGM6
3000477,TGM4,THEGL,TGM4__THEGL
3000478,THPO,TGM4,TGM4__THPO
3000479,TGM4,TINCR,TGM4__TINCR
3000480,TGM4,TMC2,TGM4__TMC2
3000481,TGM4,TMC3,TGM4__TMC3
3000482,TGM4,TMEM114,TGM4__TMEM114
3000483,TGM4,TMEM121B,TGM4__TMEM121B
3000484,TGM4,TMEM132D,TGM4__TMEM132D
3000485,TGM4,TMEM138,TGM4__TMEM138
3000486,TGM4,TMEM151A,TGM4__TMEM151A
3000487,TGM4,TMEM156,TGM4__TMEM156
3000488,TGM4,TMEM158,TGM4__TMEM158
3000489,TGM4,TMEM185B,TGM4__TMEM185B
3000490,TGM4,TMEM225,TGM4__TMEM225
3000491,TMEM225B,TGM4,TGM4__TMEM225B
3000492,TMEM74B,TGM4,TGM4__TMEM74B
3000493,TGM4,TMEM89,TGM4__TMEM89
3000494,TGM4,TMEM91,TGM4__TMEM91
3000495,TGM4,TMPRSS11F,TGM4__TMPRSS11F
3000496,TGM4,TMPRSS7,TGM4__TMPRSS7
3000497,TMSB15A,TGM4,TGM4__TMSB15A
3000498,TGM4,TOP6BL,TGM4__TOP6BL
3000499,TPBGL,TGM4,TGM4__TPBGL
3000500,TRAV7,TGM4,TGM4__TRAV7
3000501,TGM4,TRBV12-3,TGM4__TRBV12-3
3000502,TRBV13,TGM4,TGM4__TRBV13
3000503,TREH,TGM4,TGM4__TREH
3000504,TRIM61,TGM4,TGM4__TRIM61
3000505,TGM4,TRIM77,TGM4__TRIM77
